OrdemPad,OrdemEns,N,cv,rho,mod,algorithm,Cost,SL,Smax,Smin
375,425,3,0.25,0.8,Low,GA,130359.5118,90.33903447,"[965.31, 91.7, 155.01]","[822.2585517158822, 8.165133886255191, 11.624277967579486]"
183,426,5,0.5,0.7,Low,GA,151086.4356,90.71115153,"[389.25, 70.36, 317.73, 495.98, 229.1]","[354.88345225351327, 50.87526482800281, 76.56891663019236, 291.80827539227954, 156.5743983218107]"
801,427,5,0.25,0.7,High,RD,137672.5386,91.1316317,"[973.6930190823498, 396.4525562085672, 387.00238624719276, 941.270324867842, 241.37740660356442]","[940.3121532517728, 280.91778965877666, 372.0713419391571, 603.1998692814636, 149.95876895385337]"
235,428,10,0.1,0.8,Medium,GA,102711.2314,99.24890128,"[317.86, 515.92, 340.49, 180.57, 884.27, 79.53, 285.53, 657.6, 992.8, 848.91]","[190.37794761029807, 420.9995483916319, 316.59631698906696, 58.973310154887926, 696.338926761258, 2.0095468756766417, 189.7523885463522, 558.4560489389218, 844.838996111189, 685.1924013080574]"
625,429,10,0.5,0.8,Low,RD,121399.1325,96.18853698,"[457.1559049481868, 123.5961180465599, 165.96041706999475, 628.398908012615, 656.1635842428966, 269.99545571178953, 177.49744110154663, 243.4672592603917, 397.2404452896817, 141.57007892271568]","[333.82193835963164, 36.55146492486491, 44.40775404098681, 449.551471523337, 431.05397620619243, 260.83739634492827, 165.07390933526005, 78.81254164117061, 262.3673742024632, 6.968901159726386]"
867,430,10,0.1,0.7,Low,GA,138176.4285,97.84811174,"[230.12, 620.2, 800.39, 772.71, 91.05, 630.3, 983.94, 86.17, 464.99, 304.23]","[2.994372641927561, 316.92070102996274, 467.14897599838366, 621.7704668351062, 8.129087984559648, 434.25506347028755, 499.0333963658731, 45.64848636965247, 6.048196751568132, 134.02034066911128]"
264,431,10,0.25,0.7,High,ACO,181205.0969,92.46608652,"[965.0, 170.0, 655.0, 730.0, 920.0, 685.0, 310.0, 505.0, 295.0, 500.0]","[960.0, 165.0, 135.0, 210.0, 565.0, 670.0, 240.0, 285.0, 75.0, 100.0]"
873,432,10,0.1,0.7,High,RD,155989.967,91.95727368,"[859.045322512494, 372.2254629122388, 140.38964304192692, 638.624836412437, 200.86649206851283, 422.13547236002455, 817.6645848841464, 553.9891194417411, 450.11564300888006, 572.9305508251032]","[711.9284923168475, 178.0492681450511, 78.14770809697856, 562.7035449685935, 177.5667396924814, 416.8683988808426, 240.72027657895327, 102.73689400459304, 155.3596598354909, 500.22055610495346]"
713,433,3,0.25,0.9,Medium,RD,58753.64729,98.11919408,"[718.5203902297392, 795.0333948250222, 690.4758104141581]","[704.6881201142472, 279.4146730731015, 449.4757476894544]"
291,434,10,0.5,0.7,Low,GA,152908.6393,92.86354102,"[13.14, 683.0, 85.32, 977.96, 601.64, 219.86, 35.14, 629.64, 559.67, 120.07]","[12.170950143084786, 479.45180950505534, 49.63086914334695, 532.6348279070314, 167.78965103394555, 30.628356490567043, 20.179495853546364, 407.8276021253572, 403.38237618227015, 95.55164804612404]"
283,435,10,0.25,0.9,Medium,GA,102338.6025,98.96417682,"[701.02, 191.24, 388.9, 263.61, 156.66, 485.75, 892.02, 538.53, 878.02, 18.88]","[640.4262297121455, 50.860073461383486, 353.50702648863665, 69.71384601614866, 152.52881840958605, 134.339838771014, 269.650213712156, 84.0813485224517, 613.9243199945979, 16.621851886293108]"
389,436,3,0.25,0.9,Medium,RD,57511.78527,98.00613711,"[656.1107633567916, 706.2302172396882, 433.19342786033644]","[556.9761441353833, 362.1993556410427, 97.64096381125226]"
737,437,3,0.5,0.8,Medium,RD,86129.21549,96.72933412,"[486.0517144963645, 790.4791044568807, 828.8314519625884]","[291.4553672949201, 592.9278147035533, 729.7219054728548]"
476,438,5,0.25,0.7,Medium,ACO,199631.547,84.68798852,"[530.0, 610.0, 890.0, 480.0, 470.0]","[380.0, 295.0, 805.0, 425.0, 370.0]"
258,439,10,0.25,0.7,Medium,NM,114851.6143,97.99226955,"[742.6372326883314, 625.4375950758392, 690.9603066912648, 674.6046619988693, 773.137178456764, 736.8592767364198, 588.5132100759693, 564.8764753338932, 665.0111069048554, 264.01208994628746]","[283.37780230659195, 259.27679653787436, 239.40287640559686, 325.0077501651987, 429.5259735537274, 455.44791750032124, 334.22745239509146, 334.33863987268114, 434.7304607572109, 120.86021969425842]"
106,440,3,0.5,0.9,High,NM,130149.6703,90.54601979,"[618.0274802140549, 179.09162677014655, 354.42229961437295]","[289.60018970410806, 98.95858517317119, 118.64228600826532]"
529,441,5,0.5,0.9,Low,RD,87658.82959,98.43136652,"[484.2445762562132, 797.3876344018478, 869.1467411918737, 212.67605888432374, 403.594310622553]","[412.1905403101165, 530.4511710598374, 238.95152681334454, 75.43189709841506, 326.4409001287806]"
595,442,10,0.25,0.8,Medium,GA,107400.4026,99.75679829,"[249.68, 524.53, 864.38, 405.49, 374.0, 480.25, 299.05, 362.64, 539.22, 325.85]","[146.4876664834116, 331.0788523092113, 47.56868233076434, 144.3570774120884, 364.5925891225826, 283.7508852107967, 69.96914075741418, 326.8995475931521, 21.97685168195266, 201.7078001634607]"
22,443,3,0.1,0.8,High,NM,175247.8828,86.51518063,"[486.6697705720599, 502.14009119988185, 507.12409043530664]","[330.3646864667847, 451.6055373053946, 306.5179541833572]"
668,444,3,0.1,0.8,Medium,ACO,137898.3241,90.42876617,"[985.0, 835.0, 630.0]","[920.0, 735.0, 320.0]"
368,445,3,0.25,0.7,Medium,ACO,200353.2561,83.33198096,"[680.0, 865.0, 530.0]","[655.0, 815.0, 315.0]"
131,446,5,0.1,0.8,High,GA,117733.568,95.44667273,"[885.02, 788.75, 39.95, 859.69, 40.51]","[177.74546147213837, 31.424291980986577, 0.3909612839966962, 205.77341509823694, 6.054873843308419]"
832,447,5,0.5,0.7,Low,ACO,121146.3979,94.8822873,"[680.0, 640.0, 605.0, 560.0, 755.0]","[530.0, 630.0, 400.0, 490.0, 735.0]"
501,448,5,0.25,0.9,High,RD,86776.41183,99.42749271,"[674.8451296305834, 664.8987380006832, 558.730432222077, 949.2695093881002, 566.8672149919006]","[571.5877746320656, 529.4596456387382, 472.0715634199458, 703.9696125251166, 284.65478390922675]"
494,449,5,0.25,0.9,Low,NM,82263.57617,96.50888154,"[323.14031398203235, 417.23099861746516, 298.7723628175833, 560.2099611855705, 486.276501033877]","[121.44723039189458, 316.30946353283184, 81.91318772111173, 226.151116914882, 158.58215745351967]"
241,450,10,0.1,0.9,Low,RD,87150.73421,99.88271061,"[431.431522954159, 490.64052129862523, 458.545752714436, 304.2076881931959, 473.4809312385835, 369.3324919185417, 302.2852521968306, 602.4734535364955, 290.89741248270053, 142.77339245142528]","[349.15627311963067, 279.6262239792364, 185.97617873399776, 79.9806071017598, 304.90833452073224, 366.6762448219313, 301.9321419141472, 195.46342676427363, 160.05028446980808, 43.38010260433695]"
430,451,3,0.5,0.9,High,NM,72668.0226,99.58470179,"[782.3377106324979, 746.6659286126926, 550.8432776009366]","[777.915075914146, 646.8143731172285, 466.7324186777975]"
120,452,5,0.1,0.7,High,ACO,190279.5632,87.77888574,"[885.0, 95.0, 795.0, 835.0, 905.0]","[750.0, 10.0, 610.0, 805.0, 905.0]"
834,453,5,0.5,0.7,Medium,NM,146184.4954,90.11024064,"[425.6014737186578, 408.91814067543305, 447.59336956915286, 784.1649392946587, 566.8980411220539]","[207.3739918962265, 167.93161807319862, 374.9000328116041, 395.7829815352407, 134.8079773115177]"
137,454,5,0.1,0.9,Medium,RD,71124.91323,99.34387348,"[890.8902616614915, 846.9486299982315, 931.4320116106486, 478.3781431186717, 296.39941388236724]","[459.129126544915, 712.5479229068467, 567.435125475276, 352.9551063568634, 164.07363753081614]"
945,455,10,0.5,0.7,High,RD,159574.9243,94.37242846,"[811.2327338273884, 616.5399989230714, 539.5648840338664, 738.5000188785932, 889.5217759354838, 184.6040261833335, 652.8021357077241, 280.1354824418072, 61.00153467348923, 667.7162314241039]","[803.3086632137007, 452.6767742218043, 506.1790973050869, 506.601498626347, 18.879069696326177, 173.68796346190948, 280.9534578226015, 147.82498774127785, 8.964842048824208, 486.44658179717567]"
593,456,10,0.25,0.8,Medium,RD,110689.765,99.74241958,"[839.4414590926864, 318.26666120660207, 606.6825256763335, 921.2786194292025, 651.4194561633682, 739.2596691502018, 276.87763809486376, 904.1264937152376, 469.53402141106403, 598.4721668461364]","[335.64809243103036, 144.55761585261607, 537.0094416690116, 805.6459655079614, 352.8496543465334, 158.30591156804908, 36.25982895754474, 836.1436734851658, 310.2555590559468, 480.15905519829676]"
221,457,10,0.1,0.7,Medium,RD,129029.5379,97.53679326,"[751.0041380990274, 828.8944061451507, 834.9289924066773, 957.5481699334853, 980.8764252485296, 681.0147926829138, 366.33855007459715, 137.01912672649664, 869.6011292425549, 829.4830069076952]","[416.4829495579467, 227.83652211803462, 651.3599332926245, 285.92778911187577, 680.2310290847173, 108.71343272101153, 136.5428622621704, 16.19683932185226, 680.2889289890339, 345.37783748090163]"
37,458,3,0.25,0.7,Low,RD,190035.993,84.84453918,"[691.0231731876784, 569.9877467684505, 556.259356399695]","[681.9775062620093, 545.0628563838891, 505.30887426605784]"
433,459,5,0.1,0.7,Low,RD,186830.7039,86.97211913,"[530.9894368597628, 977.615910778499, 920.059471009087, 542.0904390539259, 417.56810142855807]","[511.55489148011577, 732.9190477969398, 673.4487174692049, 350.44364390878746, 388.9999805559077]"
339,460,3,0.1,0.8,Low,GA,126504.7769,91.1204052,"[566.56, 591.74, 74.34]","[292.0214995253775, 524.0005321652803, 42.172979253402424]"
839,461,5,0.5,0.7,High,GA,230297.1866,82.93022332,"[13.59, 929.3, 759.44, 185.11, 220.92]","[10.940930763418255, 435.09380528614685, 1.6039478832716882, 103.33636809323737, 62.77494137470147]"
738,462,3,0.5,0.8,Medium,NM,101162.8514,95.41495897,"[508.6949766481423, 223.22262153215246, 464.6073824925926]","[398.3945687780671, 167.98159504976059, 383.355146620042]"
200,463,5,0.5,0.8,Medium,ACO,106925.3495,95.79955425,"[770.0, 1000.0, 845.0, 880.0, 305.0]","[495.0, 845.0, 715.0, 775.0, 200.0]"
210,464,5,0.5,0.9,Medium,NM,67101.86625,99.49215007,"[728.9209933166063, 660.4178325173062, 300.2656873692274, 379.32939045044026, 370.0211074146799]","[409.22541529605826, 533.3833687578907, 300.2656873692274, 188.89709598882223, 203.82101114673787]"
691,465,3,0.25,0.7,Medium,GA,219086.1303,81.32111127,"[450.74, 20.92, 602.18]","[201.08222140795013, 14.833836124727704, 456.55289737335505]"
454,466,5,0.1,0.8,High,NM,90995.95545,97.44022898,"[1322.304990670222, 1187.8787038307778, 706.7159178817727, 129.3895308758531, 806.3435622626847]","[803.7131670002939, 1049.2718089601676, 382.62354567399996, 120.82323904436805, 453.4591937331889]"
762,467,5,0.1,0.7,Medium,NM,108020.9423,96.55143095,"[907.2590631782255, 1039.6065585370684, 707.3675113667383, 889.8738914182624, 1437.1893297803979]","[907.2590631782255, 468.936433667213, 707.3675113667383, 261.27052286719265, 1289.4092147000424]"
671,468,3,0.1,0.8,High,GA,168886.3871,87.60494016,"[590.6, 838.17, 736.64]","[396.9288811536768, 831.2790365073785, 227.50384555457995]"
751,469,3,0.5,0.9,Medium,GA,114375.1916,92.93214428,"[690.17, 121.1, 544.08]","[101.20644420762052, 114.46735934011502, 129.02790826718982]"
