OrdemPad;OrdemEns;N;cv;rho;p;algorithm;Cost;SL;Smax;Smin
601;623;10;0,25;0,9;0;RD;110921,26;96,88;[186.62022927676503, 528.935467412921, 851.3874906589195, 535.9040394752063, 372.0825671936343, 542.4301722468585, 508.40858545095693, 270.28588104688953, 233.55097702717777, 388.71447218392143];[145.85453584838865, 110.76333313856756, 175.41059576291406, 104.27678449077959, 300.39380925473466, 262.3899162002677, 502.703943898055, 222.91324526769264, 198.11919167854487, 206.12717783582013]
587;624;10;0,25;0,7;0,15;GA;140124,58;94,12;[683.3, 540.91, 176.69, 639.47, 52.31, 380.6, 193.92, 683.07, 81.02, 672.44];[145.92979730599117, 144.53786959088285, 168.70833633119008, 47.13042348948243, 3.467719373616893, 74.07410946154918, 43.4345996296494, 173.83375669800336, 68.4185517780606, 199.9338322967063]
484;625;5;0,25;0,8;0;ACO;103990,35;96,96;[865.0, 920.0, 380.0, 995.0, 245.0];[865.0, 700.0, 265.0, 565.0, 245.0]
963;626;10;0,5;0,9;0;GA;97705,23;98,48;[369.4, 612.91, 638.69, 123.65, 202.3, 357.45, 486.96, 998.41, 636.63, 53.74];[327.1123520387431, 25.760039527921943, 482.1364783701319, 79.68541159670772, 200.00561633889342, 251.2992586364288, 60.07658968198254, 739.1533387919128, 282.44292226087134, 46.594922803157154]
220;627;10;0,1;0,7;0;ACO;134386,69;97,34;[250.0, 565.0, 865.0, 810.0, 700.0, 905.0, 375.0, 410.0, 235.0, 440.0];[245.0, 510.0, 700.0, 655.0, 55.0, 905.0, 360.0, 95.0, 200.0, 245.0]
895;628;10;0,1;0,9;0,05;GA;92052,07;99,31;[9.76, 323.61, 216.33, 428.15, 279.91, 99.85, 473.87, 51.33, 886.25, 863.78];[8.768295216780093, 224.95166295598972, 117.57646446295793, 317.5699267771644, 72.25415792342018, 33.497111627739294, 298.0109718952443, 23.233933732925006, 488.93130608049694, 299.0108517176327]
795;629;5;0,25;0,7;0;GA;182483,20;87,16;[86.05, 415.58, 834.6, 593.04, 543.17];[14.836980993534535, 50.66690701758864, 572.4585337544099, 565.6354605066523, 28.992106030518077]
528;630;5;0,5;0,8;0,15;ACO;101134,57;97,43;[895.0, 830.0, 660.0, 735.0, 595.0];[725.0, 565.0, 630.0, 340.0, 410.0]
318;631;10;0,5;0,9;0,05;NM;90385,08;99,83;[513.4654322924644, 489.3549793161473, 382.0752227775297, 530.5655746073458, 629.8127021736015, 508.0156070983402, 547.2209510143334, 293.15735038333685, 417.67993880484613, 590.734047950646];[293.1391777809708, 363.0159282301401, 159.8618741546277, 283.04520786934603, 354.87866827961636, 263.1739703972384, 265.79093172340146, 134.7904315234079, 207.22803466577338, 316.6635250152073]
491;632;5;0,25;0,8;0,15;GA;116477,14;94,7;[543.3, 159.9, 240.91, 117.3, 241.34];[337.8866683529904, 106.56250478409991, 204.11360763323074, 96.36390326634192, 166.09517617764192]
958;633;10;0,5;0,8;0,15;NM;96540,46;98,64;[478.5556995779457, 455.0970649811655, 488.23805345999256, 587.1285887731735, 481.75492068529115, 450.8883727870387, 512.4483363512329, 517.7090420263097, 400.5842159759949, 592.5321405022647];[246.08492568274377, 194.22546241919957, 190.61605996929788, 276.699207191856, 267.9733550422505, 245.34687332520542, 172.21727058926996, 229.65099019027176, 193.67830156616546, 400.62505940735076]
41;634;20;0,25;0,7;0,05;RD;165245,58;98,35;[518.6465320431686, 379.39681212071883, 270.26166907414495, 138.85008499864927, 360.6932892419359, 124.71644669695037, 447.32438967821463, 397.6401857494758, 773.4935685243103, 567.4079442245971, 403.4691489905785, 911.110286200772, 845.0065364196611, 140.8324066861716, 191.6894903511691, 224.50855982834895, 527.7158362980189, 432.62945755621985, 907.0490569280513, 76.7115781876444];[59.248708087855704, 207.73080760495924, 120.58549356564497, 30.94546552974783, 12.92493106422943, 101.15749812034994, 100.80053777201002, 165.76434540402087, 591.3496326094721, 510.1240197116424, 15.622057636234363, 21.570068991166625, 511.398990491732, 117.92451454111144, 119.71229113782199, 187.6287209755849, 296.45697626086115, 326.9390664433077, 539.5833285189351, 42.64578555548106]
55;635;20;0,25;0,8;0,05;GA;170568,93;98,96;[432.81, 538.77, 902.51, 173.23, 393.05, 776.78, 213.28, 347.38, 663.51, 804.8, 481.11, 825.81, 243.19, 159.09, 771.79, 598.77, 299.97, 496.85, 460.26, 58.75];[218.19171646139512, 374.72654368478305, 740.5469380357539, 168.2224976284644, 82.79843009200606, 772.8125969007871, 49.63978050684097, 158.58486106440833, 202.82203867120032, 258.19140086758347, 231.6057107027396, 627.6723663262176, 8.474938469721494, 127.861727409726, 20.701357478069184, 476.9195032854618, 11.433321734181158, 249.66168772593318, 165.34570964442347, 37.97784065327053]
908;636;10;0,25;0,7;0,05;ACO;126571,99;99,17;[655.0, 985.0, 915.0, 975.0, 860.0, 925.0, 470.0, 110.0, 235.0, 810.0];[270.0, 710.0, 165.0, 790.0, 615.0, 815.0, 285.0, 65.0, 105.0, 810.0]
47;637;20;0,25;0,7;0,15;GA;182019,52;99,2;[684.81, 710.21, 510.97, 463.05, 356.35, 777.74, 105.05, 538.11, 194.61, 18.01, 890.44, 905.28, 329.12, 219.27, 292.74, 315.77, 700.26, 638.9, 385.15, 380.51];[311.86234710129276, 640.5824295754522, 424.8847405542908, 455.2836570030431, 148.61049243799945, 251.8110430470581, 74.49849549308577, 506.3754384499636, 141.43435885352883, 6.998643832520095, 256.605326120832, 757.6072528836163, 132.94757222096774, 157.67305716051666, 105.67713396420015, 284.43652051183403, 170.39336800717615, 454.4757238431086, 150.70397071988452, 24.309430112724904]
777;638;5;0,1;0,8;0,15;RD;124054,33;94,74;[992.0486301403147, 960.334785798253, 715.2346767305374, 774.1462470677815, 568.2071701768148];[847.60651212319, 880.4199600283458, 2.2552274297037362, 734.1515105903932, 140.20919225920778]
39;639;20;0,25;0,7;0;GA;165458,99;97;[510.4, 547.35, 876.77, 237.45, 765.47, 215.16, 573.34, 42.35, 229.75, 55.34, 371.48, 282.53, 47.01, 750.75, 855.09, 892.76, 316.85, 196.76, 661.09, 242.09];[100.03491721032728, 346.6192404038111, 563.6214913213911, 107.37970750179866, 359.1019332809177, 153.14908777737097, 79.16188542358411, 7.11169905154264, 131.9601999927682, 30.37155689717968, 248.92289386854705, 209.88003919200617, 27.56692210412338, 236.82943235646837, 484.05253482536506, 783.7890776014347, 57.15384259220844, 39.03482239955583, 107.81239659115506, 49.72048762662629]
397;640;20;0,5;0,7;0;RD;159604,13;98,54;[577.9015775801618, 644.2995588548198, 194.43801453025023, 752.2121742350473, 563.1599311336906, 521.1902547668287, 151.30663172841673, 175.72312589564487, 590.6627341494055, 185.529099827773, 185.3250599909292, 271.5406179984655, 582.6628474637116, 614.4295051237061, 603.7029828717515, 623.5335183428137, 563.2415457340707, 228.81885000880663, 328.2863880588093, 820.485840779618];[461.4102029031694, 272.28855954553586, 41.573032212073386, 185.4474618126413, 448.31438110981406, 83.72304662219307, 20.615876528387417, 66.59950064201502, 162.0101879512261, 138.18515636973703, 156.99871278311608, 33.61229228340625, 302.87598151311397, 590.1516902436157, 311.2328449211591, 206.9510099922856, 122.86299300761509, 178.4189819104581, 203.6168502380849, 675.0964843975255]
455;641;5;0,1;0,8;0,15;GA;158080,26;89,78;[141.76, 147.98, 87.51, 356.67, 918.25];[39.468587974007285, 125.36831434464699, 30.904775384985296, 28.860148219908602, 806.8016592753349]
952;642;10;0,5;0,8;0;ACO;117896,74;99,68;[730.0, 975.0, 615.0, 630.0, 885.0, 615.0, 620.0, 690.0, 195.0, 780.0];[305.0, 605.0, 455.0, 205.0, 195.0, 160.0, 585.0, 670.0, 155.0, 180.0]
717;643;20;0,25;0,9;0,15;RD;178869,40;98,07;[231.23263473536682, 701.409421191336, 297.44054791234043, 54.05244196917059, 689.6564592282301, 362.39626186649156, 184.52572837587223, 532.3276016011379, 101.59529788816147, 173.70891689841227, 374.3993273203769, 106.56141687676579, 421.72151821243773, 91.7329731227018, 767.2465132818113, 772.2240543640812, 183.86566616924372, 345.5393630578745, 657.822517341074, 666.085568744767];[175.40579300371257, 207.1866538994016, 262.51822193239593, 35.81822846144409, 389.39256104363136, 150.70109566741368, 22.91266456674492, 121.87288449731795, 7.388396480907141, 104.6515692686327, 354.11095606147705, 66.23498533257587, 388.56215589719915, 3.5092836749183114, 331.4944233276401, 49.85818837701923, 84.64695722589968, 54.19182227789542, 151.2956869988565, 10.683952095639938]
252;644;10;0,1;0,9;0,15;ACO;99792,26;98,73;[310.0, 530.0, 250.0, 805.0, 160.0, 240.0, 100.0, 665.0, 130.0, 575.0];[115.0, 340.0, 80.0, 75.0, 90.0, 235.0, 70.0, 370.0, 100.0, 140.0]
277;645;10;0,25;0,9;0;RD;100063,26;100;[518.4435826406732, 629.247389285525, 578.2276221641671, 195.6480039664692, 381.60159871084454, 340.89548008293457, 731.3617835121629, 361.87505808423924, 477.23184745952705, 428.2901464106188];[193.44598245060865, 216.7925920928866, 446.9256929286302, 78.31423639414572, 178.1969093636964, 243.9723886092994, 586.737988725376, 330.23366941111885, 143.90625119982155, 329.1581862388636]
704;646;20;0,25;0,8;0,05;ACO;169043,46;97,82;[300.0, 305.0, 360.0, 120.0, 355.0, 890.0, 245.0, 365.0, 390.0, 135.0, 195.0, 800.0, 555.0, 300.0, 895.0, 40.0, 85.0, 190.0, 325.0, 605.0];[135.0, 290.0, 255.0, 40.0, 100.0, 425.0, 120.0, 10.0, 130.0, 75.0, 35.0, 280.0, 310.0, 185.0, 685.0, 40.0, 15.0, 155.0, 115.0, 10.0]
486;647;5;0,25;0,8;0,05;NM;164558,12;88,22;[521.9407747338597, 164.63854731317528, 530.09152850642, 755.9606740964362, 385.37975308350826];[189.65604430097616, 121.63126724549358, 326.65821212769083, 102.29670106287851, 125.29357038650517]
